航班日期,航线金额
2023-08-12,1250125.09
2023-08-13,1322321.96
2023-08-14,1255850.43
2023-08-15,1426696.13
2023-08-16,1557261.67
2023-08-17,1699881.5
2023-08-18,1655054.72
2023-08-19,1393638.78
2023-08-20,1761062.5
2023-08-21,1470660.4
2023-08-22,1326424.6
2023-08-23,1383640.9
2023-08-24,1350979.0
2023-08-25,1522733.96
2023-08-26,1160429.1
2023-08-27,1306020.9
2023-08-28,1207037.9
2023-08-29,1056702.09
2023-08-30,1141309.46
2023-08-31,1032264.9
2023-09-01,1145115.34
2023-09-02,984614.52
2023-09-03,963960.8
2023-09-04,1065648.17
2023-09-05,1169040.0
2023-09-06,1243452.15
2023-09-07,1267530.0
2023-09-08,1485038.0
2023-09-09,1037426.4
2023-09-10,1151934.0
2023-09-11,1185992.0
2023-09-12,1021536.21
2023-09-13,1181335.93
2023-09-14,1158416.55
2023-09-15,1559377.0
2023-09-16,1030231.8
2023-09-17,1080377.65
2023-09-18,824769.4
2023-09-19,998605.8
2023-09-20,1290602.51
2023-09-21,1337769.25
2023-09-22,1853112.25
2023-09-23,1158333.24
2023-09-24,1288741.38
2023-09-25,1231422.12
2023-09-26,952809.05
2023-09-27,1129070.62
2023-09-28,1277175.0
2023-09-29,1293194.91
2023-09-30,1289520.6
2023-10-01,1132305.13
2023-10-02,929430.21
2023-10-03,1154310.28
2023-10-04,1212090.19
2023-10-05,1547942.11
2023-10-06,1455762.87
2023-10-07,1141958.3
2023-10-08,910356.6799999999
2023-10-09,877952.55
2023-10-10,984409.78
2023-10-11,1085623.5
2023-10-12,1102464.7
2023-10-13,1422089.8
2023-10-14,935261.5
2023-10-15,1235573.06
2023-10-16,1052274.04
2023-10-17,907235.3
2023-10-18,998778.0
2023-10-19,819007.4
2023-10-20,1655060.1
2023-10-21,1039669.5
2023-10-22,1226692.95
2023-10-23,1129058.0
2023-10-24,1024030.0
2023-10-25,1179550.0
2023-10-26,1188020.55
2023-10-27,1576083.5
2023-10-28,918978.5
2023-10-29,1047956.0
2023-10-30,758238.63
2023-10-31,716503.0
2023-11-01,727994.15
2023-11-02,669907.0700000001
2023-11-03,1230672.5
2023-11-04,793102.27
2023-11-05,1116953.0
2023-11-06,944338.94
2023-11-07,890673.22
2023-11-08,1069648.79
2023-11-09,1015611.35
2023-11-10,1366791.13
2023-11-11,748164.0
2023-11-12,1019717.6799999999
2023-11-13,803832.1
2023-11-14,839001.0
2023-11-15,955419.06
2023-11-16,975966.94
2023-11-17,1363330.5
2023-11-18,577611.0
2023-11-19,1047725.45
2023-11-20,817996.58
2023-11-21,677633.15
2023-11-22,927573.35
2023-11-23,923415.55
2023-11-24,1254911.5
2023-11-25,703587.1
2023-11-26,1037352.99
2023-11-27,697799.0
2023-11-28,861266.13
2023-11-29,879273.9
2023-11-30,916970.78
2023-12-01,1128874.36
2023-12-02,641010.94
2023-12-03,794180.93
2023-12-04,795034.76
2023-12-05,742323.4
2023-12-06,837563.9
2023-12-07,900932.4
2023-12-08,1249924.06
2023-12-09,639503.34
2023-12-10,981888.2
2023-12-11,814256.64
2023-12-12,709995.0
2023-12-13,1025052.83
2023-12-14,704870.6799999999
2023-12-15,1175926.55
2023-12-16,697042.91
2023-12-17,827886.29
2023-12-18,733181.8
2023-12-19,706395.58
2023-12-20,893987.06
2023-12-21,610993.0
