航班日期,航班号,实际销售额（sale_volume）
2023-02-12,KN5737,118160.5
2023-02-12,KN5738,200264.0
2023-02-12,KN5955,161530.0
2023-02-12,KN5956,117025.0
2023-02-12,KN5977,137490.0
2023-02-12,KN5978,87950.91
2023-02-13,KN5737,159272.0
2023-02-13,KN5738,215824.0
2023-02-13,KN5955,137516.0
2023-02-13,KN5956,81350.0
2023-02-13,KN5977,100796.5
2023-02-13,KN5978,123124.0
2023-02-14,KN5737,133039.0
2023-02-14,KN5738,169025.0
2023-02-14,KN5955,144990.0
2023-02-14,KN5956,115813.0
2023-02-14,KN5977,77125.0
2023-02-14,KN5978,87852.5
2023-02-15,KN5737,173844.5
2023-02-15,KN5738,239879.0
2023-02-15,KN5955,136544.0
2023-02-15,KN5956,122025.0
2023-02-15,KN5977,102246.0
2023-02-15,KN5978,127890.0
2023-02-16,KN5737,125279.5
2023-02-16,KN5738,197715.0
2023-02-16,KN5955,138334.0
2023-02-16,KN5956,128685.0
2023-02-16,KN5977,99313.0
2023-02-16,KN5978,80330.0
2023-02-17,KN5737,148129.5
2023-02-17,KN5738,181233.0
2023-02-17,KN5955,205270.0
2023-02-17,KN5956,160735.0
2023-02-17,KN5977,148821.0
2023-02-17,KN5978,90041.0
2023-02-18,KN5737,154701.5
2023-02-18,KN5738,205371.0
2023-02-18,KN5955,108311.0
2023-02-18,KN5956,86306.0
2023-02-18,KN5977,78775.0
2023-02-18,KN5978,97420.0
2023-02-19,KN5737,95357.0
2023-02-19,KN5738,200319.0
2023-02-19,KN5955,137640.0
2023-02-19,KN5956,121895.0
2023-02-19,KN5977,91805.0
2023-02-19,KN5978,91390.65
2023-02-20,KN5737,147262.0
2023-02-20,KN5738,220838.0
2023-02-20,KN5955,203487.0
2023-02-20,KN5977,66071.0
2023-02-20,KN5978,120706.0
2023-02-21,KN5737,101150.0
2023-02-21,KN5738,175109.0
2023-02-21,KN5955,119277.5
2023-02-21,KN5956,83810.0
2023-02-21,KN5977,61907.0
2023-02-21,KN5978,95733.0
2023-02-22,KN5737,121682.0
2023-02-22,KN5738,244295.0
2023-02-22,KN5955,148582.0
2023-02-22,KN5956,100693.0
2023-02-22,KN5977,86968.0
2023-02-22,KN5978,109098.8
2023-02-23,KN5737,127414.5
2023-02-23,KN5738,171410.0
2023-02-23,KN5955,174668.0
2023-02-23,KN5956,125895.0
2023-02-23,KN5977,96384.0
2023-02-23,KN5978,89440.0
2023-02-24,KN5737,105127.0
2023-02-24,KN5738,199390.0
2023-02-24,KN5955,194690.0
2023-02-24,KN5956,184450.0
2023-02-24,KN5977,142706.5
2023-02-24,KN5978,101585.0
2023-02-25,KN5737,120906.5
2023-02-25,KN5738,201754.0
2023-02-25,KN5955,112828.0
2023-02-25,KN5956,91246.0
2023-02-25,KN5977,77377.0
2023-02-25,KN5978,93916.6
2023-02-26,KN5737,63043.0
2023-02-26,KN5738,202428.0
2023-02-26,KN5955,144930.0
2023-02-26,KN5956,103240.0
2023-02-26,KN5977,86480.0
2023-02-26,KN5978,66887.46
2023-02-27,KN5737,124187.0
2023-02-27,KN5738,213399.0
2023-02-27,KN5955,96220.0
2023-02-27,KN5956,75953.0
2023-02-27,KN5977,126555.0
2023-02-27,KN5978,90305.65
2023-02-28,KN5737,97945.0
2023-02-28,KN5738,167829.0
2023-02-28,KN5955,131007.0
2023-02-28,KN5956,107394.0
2023-03-01,KN5737,141195.0
2023-03-01,KN5738,160532.0
2023-03-01,KN5955,145058.0
2023-03-01,KN5956,120530.0
2023-03-01,KN5977,82814.0
2023-03-01,KN5978,181203.5
2023-03-02,KN5737,158240.0
2023-03-02,KN5738,169495.0
2023-03-02,KN5955,212474.0
2023-03-02,KN5956,169925.0
2023-03-02,KN5978,90840.0
2023-03-03,KN5737,115902.0
2023-03-03,KN5738,186065.0
2023-03-03,KN5955,273228.0
2023-03-03,KN5956,225315.0
2023-03-03,KN5977,111599.0
2023-03-03,KN5978,66243.58
2023-03-04,KN5737,114560.0
2023-03-04,KN5738,179300.0
2023-03-04,KN5955,106513.0
2023-03-04,KN5956,89071.0
2023-03-04,KN5977,60030.0
2023-03-04,KN5978,69750.0
2023-03-05,KN5737,95752.0
2023-03-05,KN5738,156304.0
2023-03-05,KN5955,92735.0
2023-03-05,KN5956,110170.0
2023-03-05,KN5977,91450.0
2023-03-05,KN5978,67275.23
2023-03-06,KN5737,125647.0
2023-03-06,KN5738,182540.0
2023-03-06,KN5955,177080.0
2023-03-06,KN5956,161137.0
2023-03-06,KN5977,85930.0
2023-03-06,KN5978,93904.0
2023-03-07,KN5737,89010.0
2023-03-07,KN5738,172545.0
2023-03-07,KN5955,135005.0
2023-03-07,KN5956,120953.0
2023-03-07,KN5977,71295.0
2023-03-07,KN5978,78399.0
2023-03-08,KN5737,98185.0
2023-03-08,KN5738,191445.0
2023-03-08,KN5955,224887.0
2023-03-08,KN5956,175260.0
2023-03-08,KN5977,81003.0
2023-03-08,KN5978,123252.95
2023-03-09,KN5737,90265.0
2023-03-09,KN5738,127230.0
2023-03-09,KN5955,215810.0
2023-03-09,KN5956,189726.0
2023-03-09,KN5977,91915.0
2023-03-09,KN5978,89451.25
2023-03-10,KN5737,101890.0
2023-03-10,KN5738,186555.0
2023-03-10,KN5955,234880.0
2023-03-10,KN5956,213350.0
2023-03-10,KN5977,103165.0
2023-03-10,KN5978,89688.95
2023-03-11,KN5737,126280.0
2023-03-11,KN5738,151640.0
2023-03-11,KN5955,184525.0
2023-03-11,KN5956,121153.0
2023-03-11,KN5977,62825.0
2023-03-11,KN5978,89853.51
2023-03-12,KN5737,83843.0
2023-03-12,KN5738,186275.0
2023-03-12,KN5955,203400.0
2023-03-12,KN5956,229130.0
2023-03-12,KN5977,96300.0
2023-03-12,KN5978,66416.0
2023-03-13,KN5737,166945.0
2023-03-13,KN5738,183355.0
2023-03-13,KN5955,226430.0
2023-03-13,KN5956,167609.0
2023-03-13,KN5977,82565.0
2023-03-13,KN5978,116106.67
2023-03-14,KN5737,133605.0
2023-03-14,KN5738,182825.0
2023-03-14,KN5955,215087.0
2023-03-14,KN5956,167143.0
2023-03-14,KN5977,90385.0
2023-03-14,KN5978,104516.0
2023-03-15,KN5737,140860.0
2023-03-15,KN5738,219030.0
2023-03-15,KN5955,238543.0
2023-03-15,KN5956,183410.0
2023-03-15,KN5977,88030.0
2023-03-15,KN5978,127353.4
2023-03-16,KN5737,144952.0
2023-03-16,KN5738,209710.0
2023-03-16,KN5955,220603.0
2023-03-16,KN5956,209795.0
2023-03-16,KN5977,95000.0
2023-03-16,KN5978,97042.5
2023-03-17,KN5737,150792.0
2023-03-17,KN5738,211269.0
2023-03-17,KN5955,324365.0
2023-03-17,KN5956,287880.0
2023-03-17,KN5977,128230.0
2023-03-17,KN5978,111603.5
2023-03-18,KN5737,136615.0
2023-03-18,KN5738,181759.0
2023-03-18,KN5955,188335.0
2023-03-18,KN5956,159628.0
2023-03-18,KN5977,77395.0
2023-03-18,KN5978,106868.4
2023-03-19,KN5738,202679.0
2023-03-19,KN5955,229126.0
2023-03-19,KN5956,225145.0
2023-03-19,KN5977,162621.0
2023-03-19,KN5978,87000.0
2023-03-20,KN5737,158496.0
2023-03-20,KN5738,215223.0
2023-03-20,KN5955,202533.0
2023-03-20,KN5956,163326.0
2023-03-20,KN5977,58782.0
2023-03-20,KN5978,183440.76
2023-03-21,KN5737,116857.0
2023-03-21,KN5738,183439.0
2023-03-21,KN5955,193781.0
2023-03-21,KN5956,164428.0
2023-03-21,KN5977,78256.0
2023-03-21,KN5978,88182.5
2023-03-22,KN5737,139004.0
2023-03-22,KN5738,201340.0
2023-03-22,KN5955,236961.0
2023-03-22,KN5956,156671.0
2023-03-22,KN5977,61998.0
2023-03-22,KN5978,89690.0
2023-03-23,KN5737,140649.0
2023-03-23,KN5738,219398.0
2023-03-23,KN5955,220261.0
2023-03-23,KN5956,197427.0
2023-03-23,KN5977,91665.0
2023-03-23,KN5978,79687.0
2023-03-24,KN5737,149407.0
2023-03-24,KN5738,196944.0
2023-03-24,KN5955,327700.0
2023-03-24,KN5956,196065.0
2023-03-24,KN5977,146320.0
2023-03-24,KN5978,95425.19
2023-03-25,KN5737,160587.0
2023-03-25,KN5738,191351.0
2023-03-25,KN5955,158558.0
2023-03-25,KN5956,95426.0
2023-03-25,KN5977,71886.0
2023-03-25,KN5978,99197.97
2023-03-26,KN5737,80469.0
2023-03-26,KN5738,141715.0
2023-03-26,KN5955,159180.0
2023-03-26,KN5956,145030.0
2023-03-26,KN5977,114455.0
2023-03-26,KN5978,78808.0
2023-03-27,KN5737,163899.0
2023-03-27,KN5738,198804.0
2023-03-27,KN5955,201596.0
2023-03-27,KN5956,168606.0
2023-03-27,KN5977,81607.0
2023-03-27,KN5978,108801.51
2023-03-28,KN5737,175341.0
2023-03-28,KN5738,192137.0
2023-03-28,KN5955,190266.0
2023-03-28,KN5956,171756.0
2023-03-28,KN5977,92213.0
2023-03-28,KN5978,81658.0
2023-03-29,KN5737,174719.0
2023-03-29,KN5738,221498.0
2023-03-29,KN5955,206239.0
2023-03-29,KN5956,145514.0
2023-03-29,KN5977,97069.0
2023-03-29,KN5978,110641.05
2023-03-30,KN5737,98620.0
2023-03-30,KN5738,134575.0
2023-03-30,KN5955,206696.0
2023-03-30,KN5956,190512.0
2023-03-30,KN5977,87595.0
2023-03-30,KN5978,92901.0
2023-03-31,KN5599,0.0
2023-03-31,KN5737,147058.0
2023-03-31,KN5738,216685.0
2023-03-31,KN5955,165250.0
2023-03-31,KN5956,170450.0
2023-03-31,KN5977,162280.0
2023-03-31,KN5978,101046.57
2023-04-01,KN5737,173040.0
2023-04-01,KN5738,223183.0
2023-04-01,KN5955,98597.0
2023-04-01,KN5956,92527.5
2023-04-01,KN5977,58060.0
2023-04-01,KN5978,98400.0
2023-04-02,KN5737,88908.0
2023-04-02,KN5738,215002.0
2023-04-02,KN5955,141870.0
2023-04-02,KN5956,160940.0
2023-04-02,KN5977,87035.0
2023-04-02,KN5978,86604.84
2023-04-03,KN5737,145392.0
2023-04-03,KN5738,181251.0
