航班日期,实际销售额（sale_volume）
2023/3/5,95752
2023/3/5,110170
2023/3/5,92735
2023/3/6,93904
2023/3/6,85930
2023/3/6,125647
2023/3/6,182540
2023/3/6,161137
2023/3/6,177080
2023/3/7,71295
2023/3/7,89010
2023/3/7,172545
2023/3/7,135005
2023/3/7,120953
2023/3/7,78399
2023/3/8,98185
2023/3/8,123252.95
2023/3/8,175260
2023/3/8,191445
2023/3/8,81003
2023/3/8,224887
2023/3/9,90265
2023/3/9,91915
2023/3/9,215810
2023/3/9,127230
2023/3/9,189726
2023/3/9,89451.25
2023/3/10,89688.95
2023/3/10,213350
2023/3/10,234880
2023/3/10,186555
2023/3/10,101890
2023/3/10,103165
2023/3/11,184525
2023/3/11,151640
2023/3/11,121153
2023/3/11,89853.51
2023/3/11,126280
2023/3/11,62825
2023/3/12,203400
2023/3/12,229130
2023/3/12,96300
2023/3/12,83843
2023/3/12,186275
2023/3/12,66416
2023/3/13,82565
2023/3/13,116106.67
2023/3/13,167609
2023/3/13,226430
2023/3/13,166945
2023/3/13,183355
2023/3/14,104516
2023/3/14,90385
2023/3/14,182825
2023/3/14,167143
2023/3/14,215087
2023/3/14,133605
2023/3/15,238543
2023/3/15,127353.4
2023/3/15,219030
2023/3/15,140860
2023/3/15,183410
2023/3/15,88030
2023/3/16,144952
2023/3/16,97042.5
2023/3/16,95000
2023/3/16,220603
2023/3/16,209710
2023/3/16,209795
2023/3/17,128230
2023/3/17,211269
2023/3/17,150792
2023/3/17,111603.5
2023/3/17,324365
2023/3/17,287880
2023/3/18,159628
2023/3/18,77395
2023/3/18,106868.4
2023/3/18,136615
2023/3/18,181759
2023/3/18,188335
2023/3/19,225145
2023/3/19,229126
2023/3/19,87000
2023/3/19,202679
2023/3/19,162621
2023/3/20,202533
2023/3/20,163326
2023/3/20,215223
2023/3/20,58782
2023/3/20,183440.76
2023/3/20,158496
2023/3/21,164428
2023/3/21,193781
2023/3/21,183439
2023/3/21,78256
2023/3/21,116857
2023/3/21,88182.5
2023/3/22,61998
2023/3/22,236961
2023/3/22,139004
2023/3/22,156671
2023/3/22,89690
2023/3/22,201340
2023/3/23,79687
2023/3/23,219398
2023/3/23,220261
2023/3/23,91665
2023/3/23,140649
2023/3/23,197427
2023/3/24,196944
2023/3/24,327700
2023/3/24,146320
2023/3/24,196065
2023/3/24,149407
2023/3/24,95425.19
2023/3/25,99197.97
2023/3/25,158558
2023/3/25,191351
2023/3/25,95426
2023/3/25,71886
2023/3/25,160587
2023/3/26,159180
2023/3/26,78808
2023/3/26,145030
2023/3/26,141715
2023/3/26,114455
2023/3/26,80469
2023/3/27,81607
2023/3/27,108801.51
2023/3/27,168606
2023/3/27,163899
2023/3/27,198804
2023/3/27,201596
2023/3/28,190266
2023/3/28,81658
2023/3/28,175341
2023/3/28,92213
2023/3/28,171756
2023/3/28,192137
2023/3/29,97069
2023/3/29,145514
2023/3/29,206239
2023/3/29,110641.05
2023/3/29,221498
2023/3/29,174719
2023/3/30,206696
2023/3/30,190512
2023/3/30,134575
2023/3/30,98620
2023/3/30,87595
2023/3/30,92901
2023/3/31,165250
2023/3/31,170450
2023/3/31,162280
2023/3/31,0
2023/3/31,101046.57
2023/3/31,147058
2023/3/31,216685
2023/4/1,58060
2023/4/1,223183
2023/4/1,92527.5
2023/4/1,98400
2023/4/1,98597
2023/4/1,173040
2023/4/2,88908
2023/4/2,160940
2023/4/2,87035
2023/4/2,86604.84
2023/4/2,141870
2023/4/2,215002
2023/4/3,120540
2023/4/3,94659.92
2023/4/3,145392
2023/4/3,107782
2023/4/3,77733
2023/4/3,181251
2023/4/4,150672
2023/4/4,103682
2023/4/4,64654.5
2023/4/4,121012
2023/4/4,96630
2023/4/4,108037
2023/4/5,213515
2023/4/5,103409.52
2023/4/5,175457
2023/4/5,141980
2023/4/5,79870
2023/4/5,155047
2023/4/6,237087
2023/4/6,97131
2023/4/6,162147
2023/4/6,181210
2023/4/6,113545
2023/4/6,160523
2023/4/7,138421
2023/4/7,146722
2023/4/7,190128
2023/4/7,263378
2023/4/7,238040
2023/4/7,80115
2023/4/8,109934.7
2023/4/8,195427
2023/4/8,146086
2023/4/8,156681
2023/4/8,83266
2023/4/8,195114
2023/4/9,295870
2023/4/9,110650
2023/4/9,245196
2023/4/9,240305
2023/4/9,136810
2023/4/9,148358
2023/4/10,175414
2023/4/10,187668
2023/4/10,247657
2023/4/10,73222
2023/4/10,130068.9
2023/4/10,156594
2023/4/11,162610
2023/4/11,169654
2023/4/11,243686
2023/4/11,100157
2023/4/11,198392
2023/4/12,158736
2023/4/12,176753
2023/4/12,103962
2023/4/12,131872
2023/4/12,224827
2023/4/12,220344
2023/4/13,160858
2023/4/13,107192.92
2023/4/13,117307
2023/4/13,233515
2023/4/14,166930
2023/4/14,105709.5
2023/4/14,179323
2023/4/14,238003
2023/4/14,165769
2023/4/14,190035
2023/4/15,96011
2023/4/15,173772
2023/4/15,113295.5
2023/4/15,121065
2023/4/15,214386
2023/4/15,113536.92
2023/4/16,246457
2023/4/16,229774
2023/4/16,156647
2023/4/16,97737.5
2023/4/17,194424
2023/4/17,129102
2023/4/17,85330
2023/4/17,219314
2023/4/17,228272
2023/4/17,115217
2023/4/18,221394
2023/4/18,154577
2023/4/18,144370
2023/4/18,113787
2023/4/18,188969
2023/4/18,85132.5
2023/4/19,123491.65
2023/4/19,210564
2023/4/19,195195
2023/4/19,169986
2023/4/19,81434
2023/4/19,277729
2023/4/20,78328
2023/4/20,201872
2023/4/20,157045
